username,video_id,video_url,like_count,comment_count,share_count,save_count,description,scraped_at
aliphildan,7671188878472236309,https://www.tiktok.com/@aliphildan/video/7671188878472236309,35.3K,830,756,530,"Yg nanya doklip dokter apa, aku dokter spesial yaah✨🤸🏻‍♂️",2026-09-02T10:40:31.136726
aliphildan,7670806333935029525,https://www.tiktok.com/@aliphildan/video/7670806333935029525,0,0,0,0,,2026-09-02T10:41:08.697327
aliphildan,7670297317257284885,https://www.tiktok.com/@aliphildan/video/7670297317257284885,297.1K,5063,56K,13.1K,"Fun fact: suka nyemilin es batu tuh bisa jadi bukan cuma iseng. 🧊Kebiasaan ini disebut pagophagia, salah satu bentuk pica yang sering dikaitkan dengan kekurangan zat besi (anemia defisiensi besi). Sampai sekarang penyebab pastinya belum sepenuhnya dipahami, tapi beberapa penelitian menunjukkan kalau mengunyah es bisa bikin otak terasa lebih “melek” sementara pada orang yang kekurangan zat besi.Tapi ingat ya, nggak semua orang yang suka makan es batu pasti anemia, dan nggak semua penderita anemia doyan es batu juga. Kalau kebiasaan ini muncul terus, apalagi disertai badan gampang capek, pucat, pusing, atau sesak saat aktivitas, sebaiknya periksa ke dokter dan cek darah. Jangan asal minum suplemen zat besi tanpa tahu penyebabnya✨",2026-09-02T10:41:45.601834
aliphildan,7670153357557828884,https://www.tiktok.com/@aliphildan/video/7670153357557828884,30K,448,706,420,Aku klarifikasi yaach✨,2026-09-02T10:42:38.403662
aliphildan,7669768875986259220,https://www.tiktok.com/@aliphildan/video/7669768875986259220,4861,70,113,137,Kalau nonton bioskop jangan lupa beli ini juga ya👀💧🩵,2026-09-02T10:43:27.543897
aliphildan,7669402907011288340,https://www.tiktok.com/@aliphildan/video/7669402907011288340,119.4K,1917,1742,1451,Replying to @Ryan Things xixixi🗿,2026-09-02T10:44:10.865625
aliphildan,7669283279371062548,https://www.tiktok.com/@aliphildan/video/7669283279371062548,589.9K,1581,18K,7084,Jangan kalian kira aku malu yaaach☺️✨,2026-09-02T10:44:45.194409
aliphildan,7668942030248103175,https://www.tiktok.com/@aliphildan/video/7668942030248103175,51.8K,2229,1525,1140,"Jangan main2 yaa, selama helikopter masih berputar doklip fine2 ajaa🥰✨ #fakesituation⚠",2026-09-02T10:45:31.933065
aliphildan,7668644343787457813,https://www.tiktok.com/@aliphildan/video/7668644343787457813,0,0,0,0,,2026-09-02T10:46:14.144685
aliphildan,7668636628147146005,https://www.tiktok.com/@aliphildan/video/7668636628147146005,25.8K,548,198,307,Ini namanya balance yaahh☺️,2026-09-02T10:47:16.894833
aliphildan,7667811802696273159,https://www.tiktok.com/@aliphildan/video/7667811802696273159,2498,39,91,105,"Siapa yg lututnya suka nyeri? 🙋🏻‍♂️Jangan langsung nyalahin faktor usia ya. Nyeri lutut bisa dialamin siapa aja, bahkan yang masih muda. Penyebabnya juga banyak, misalnya:1. Osteoarthritis (pengapuran) → tulang rawan menipis sehingga sendi terasa nyeri dan kaku.2. Cedera ligamen atau meniskus → biasanya setelah olahraga, jatuh, atau gerakan memutar lutut.3. Tendinitis (radang tendon) → akibat aktivitas berulang seperti lari atau melompat.4. Patellofemoral pain syndrome → nyeri di sekitar tempurung lutut, sering terasa saat naik turun tangga atau jongkok.5. Radang sendi (arthritis) → seperti rheumatoid arthritis atau asam urat yang menyebabkan nyeri dan bengkak.6. Bursitis → peradangan bantalan sendi karena tekanan atau gerakan berulang.7. Berat badan berlebih → meningkatkan beban pada sendi lutut sehingga lebih mudah nyeri.Makanya jangan asal minum obat nyeri terus dipaksa aktivitas, karena rasa sakitnya mungkin cuma tertutup sementara, sementara penyebab utamanya belum teratasi. Kalau nyeri berlangsung lebih dari beberapa minggu, sering kambuh, lutut bengkak, terasa goyah, terkunci, atau sampai susah berjalan, sebaiknya segera periksa ke dokter supaya penyebabnya bisa dipastikan dan ditangani dengan tepat✨ #EduKocak #doklip",2026-09-02T10:47:54.133139
aliphildan,7667491760213544212,https://www.tiktok.com/@aliphildan/video/7667491760213544212,14.4K,229,722,225,"Tau gak kenapa dar*h bisa naik ke selang infus? 🩸💉Salah satu penyebabnya adalah posisi kantong infus berada lebih rendah dari pembuluh darah atau aliran infus berhenti sementara. Akibatnya, tekanan di dalam pembuluh darah bisa mendorong darah masuk kembali ke selang infus (blood backflow). Kondisi ini juga lebih mudah terjadi jika tangan yang dipasang infus terlalu sering digerakkan atau posisi infus berubah.Kalau ini terjadi, jangan panik atau mencoba membetulkan infus sendiri. Pastikan kantong infus tetap berada lebih tinggi dari lengan, kurangi gerakan pada tangan yang dipasang infus, lalu segera beri tahu perawat atau tenaga kesehatan agar aliran infus dapat diperiksa dan dikembalikan dengan aman. @Acid 🔮 #fakesituation⚠️",2026-09-02T10:48:29.795922
aliphildan,7667157395117804808,https://www.tiktok.com/@aliphildan/video/7667157395117804808,43.7K,467,12.1K,1086,Atur🙂 #fakesituation⚠️️ #jff,2026-09-02T10:49:21.019291
aliphildan,7666433970896145685,https://www.tiktok.com/@aliphildan/video/7666433970896145685,11.5K,66,137,215,Jadi org stressful di acara yg colorful✨@Lulu 🤎,2026-09-02T10:50:12.621776
aliphildan,7666357658835766549,https://www.tiktok.com/@aliphildan/video/7666357658835766549,11.6K,70,123,332,Yang mana yg paling cocok gaiiss??✨ @abang3adek cc @Lulu 🤎,2026-09-02T10:51:33.666799
aliphildan,7666003648035458322,https://www.tiktok.com/@aliphildan/video/7666003648035458322,1525,42,27,27,Minggir bozzz✨ @Acid 🔮 @abang3adek,2026-09-02T10:52:13.128307
aliphildan,7665314659154627858,https://www.tiktok.com/@aliphildan/video/7665314659154627858,960,22,98,70,"Kenapa muka Gen Z sekarang keliatan lebih tua dari umurnya? Ternyata bukan cuma soal usia, tapi skin barrier yang udah rusak duluan — dan ini yang bisa bantu jaga kelembapan kulit kamu tiap hari. 🌿 @glad2glow.indo",2026-09-02T10:53:08.251531
aliphildan,7665301282860600596,https://www.tiktok.com/@aliphildan/video/7665301282860600596,4002,30,59,63,Pertama kali ke curuggg✨🤸🏻‍♂️ @Lulu 🤎 @Bang ucup @Acid 🔮 @fauzannoorqolbi @ridho maulana @abang3adek @Aidil Saputra @stevengunardilasut @Piscesboyy @drh. Ricky Halim dan Sashi @thisisoraiii #fakesituation⚠️,2026-09-02T10:54:04.051532
aliphildan,7665249719517596946,https://www.tiktok.com/@aliphildan/video/7665249719517596946,1887,31,51,27,Kan aku udah bilang dari awal. Cc: @Acid 🔮,2026-09-02T10:54:51.168580
aliphildan,7664807741004778773,https://www.tiktok.com/@aliphildan/video/7664807741004778773,196.6K,506,4423,3462,Obnerr 🛳️ #lucup🤎 @Lulu 🤎 @Bang ucup @Acid 🔮,2026-09-02T10:55:51.087900
aliphildan,7664448121975377173,https://www.tiktok.com/@aliphildan/video/7664448121975377173,2091,22,7,34,Dokter bengkel juga jadi✨🤙🏻,2026-09-02T10:56:32.739972
aliphildan,7663015670455553301,https://www.tiktok.com/@aliphildan/video/7663015670455553301,63.1K,430,960,974,Jujur gatau mo bikin caption gimana🥹😭🕊️ BERLAYARLAH KAWAN! @Kadam Sidik,2026-09-02T10:57:35.759400
aliphildan,7662664255979736341,https://www.tiktok.com/@aliphildan/video/7662664255979736341,1098,25,122,68,Siapa  dlu di kelasnya ada yg modelan begini? Wwkwkw #fakesituation⚠️,2026-09-02T10:58:36.839372
aliphildan,7662337718470397192,https://www.tiktok.com/@aliphildan/video/7662337718470397192,1346,25,28,108,Jalan-jalan naik kudaMending simak pideo guee daa! #fakesituation⚠️,2026-09-02T10:59:24.538507
aliphildan,7661888877879233812,https://www.tiktok.com/@aliphildan/video/7661888877879233812,35K,658,6250,658,"#bismillahchan💜 Kenapa lokasi tempat penyuntikkan itu beda-beda, ada yang di tangan, di paha, bahkan di bokong? 🗿⬇️Karena setiap jenis suntikan punya tujuan dan cara kerja yang berbeda. Ada obat atau vaksin yang memang harus masuk ke lapisan kulit (intradermal), ada yang disuntik ke jaringan lemak (subkutan), ada yang harus langsung ke otot (intramuskular), dan ada juga yang masuk ke pembuluh darah (intravena). Nah, setiap lapisan tubuh punya lokasi terbaik agar obat terserap dengan optimal, lebih nyaman, dan risiko cedera pada saraf atau pembuluh darah lebih kecil. Makanya tenaga kesehatan nggak asal pilih tempat suntik, semuanya disesuaikan dengan jenis obat, usia, kondisi pasien, serta tujuan terapinya. Cc @dictionarei",2026-09-02T11:00:03.699746
